gouvernorat;numero;maison_de_culture;adresse;telephone;directeur;lattitude;longitude;horaire;fax
"سيدي بوزيد";2;المزونة;"حي النور - 9150 المزونة";76668330;"سالمة بن عبد الرحمان";34.5804188;9.8466468;;
"سيدي بوزيد";6;"بئر الحفي";"9113 بئر الحفي";76677710;"انيس الدائم";34.932699;9.193277;;
تـــــــــونس;4;"باب العسل";"نهج العسل، 1006 باب سويقة";71562086;"منال عبد القوي";;;;
تـــــــــونس;8;"حي الزهور";"دار الثقافة الطيب المهيري، 2052 حي الزهور";71527520;"منير الخماسي";;;;
تـــــــــونس;12;"الكرم الشرقي";"17 نهج الطيب المهيري، 2015 الكرم";71730696;"وحيدة الدريدي";;;;
تـــــــــونس;13;"حي محمد علي";"12 نهج مفيدة بورقيبة، 2085 قرطاج";71985074;"عفاف زائري";;;;
تـــــــــونس;17;"حي الطيران";"2052 الزهور";71599857;"محسن القرواشي";;;;
تـــــــــونس;21;"باب سويقة";"ساحة باب سويقة، 1006";71573754;"يامينة الزايدي";;;;
تـــــــــونس;26;"تربة الباي";"باب الجديد";;"جميلة الشيحي";;;;
منوبة;2;"دوار هيشر";"طريق ماطر - كم 7 - 2086 دوار هيشر";71621774;"أماني دريوش";36.821774;10.082037;;
"بن عروس";2;"حمام الأنف";"شارع الجمهورية - 2050 حمام الأنف";71293833;"الامجد الزائر";;;;
"بن عروس";6;مقرين;"1نهج العروسي الحداد، 2033 مقرين";71432175;"سنية بن يحي";;;;
نابـــل;2;نابل;"نهج الهادي شاكر - 8000 نابل";72268817;"سلوى الهواري نبيلة خمير";;;;
نابـــل;6;قليبية;"شارع الشهداء - 8090 قليبية";72296098;"عائشة بن سليمان";;;;
نابـــل;10;تاكلسة;"8020 تاكلسة";72396625;"لطيفة بن عبيد";;;;
سليانة;8;"المركب الثقافي";;;"عبد الحميد السعيدي";;;;
سليانة;4;مكثر;"شارع الجمهورية - 6140 مكثر";78826806;"وسام زغدود";;;;
زغوان;1;زغوان;"1100 زغوان";72676630;"أمال جاء بالله";;;;
باجة;2;باجة;"شارع الحبيب بورقيبة - 9000 باجة";78454054;;;;;
باجة;6;نفزة;"شارع الحبيب بورقيبة - 9010 نفزة";78470038;"سلوى الوشتاتي";;;;
بنزرت;1;بنزرت;"شارع 9 جانفي - 7000 بنزرت";72434390;"محمد البشير القمودي";;;;
بنزرت;5;"راس الجبل";"7070رأس الجبل";72447862;"وديعة عميرة";;;;
توزر;1;توزر;"شارع أبو القاسم الشابي - ص ب 195 - 2200 توزر";76452822;"بدر الدين الشعباني";;;;
توزر;5;دقاش;"شارع الحبيب بورقيبة - 2260 دقاش";76420131;"عبد الحكيم العليمي";;;;
مدنين;4;ميدون;"1نهج سيدي الشريف - 4116 جربة ميدون";75730248;"عبد المنعم العرف";;;;
مدنين;6;جرجيس;"ساحة الثقافة - 4170 جرجيس";75692545;"كريم المجعي";;;;
الكاف;2;الدهماني;"شارع فرحات حشاد - 7180 الدهماني";78282010;"فاتن العبيدي";;;;
الكاف;6;الساقية;"شارع الحبيب بورقيبة - 7120ساقية سيدي يوسف";78258312;"سندس بن سالم";;;;
الكاف;7;السرس;"7180 السرس";78262002;"حياة الحيدري";;;;
جندوبة;1;"المركب الثقافي بجندوبة";"شارع الحبيب بورقيبة - 8100 جندوبة";78600699;"عزة فري";;;;
جندوبة;5;"غار الدماء ****";"شارع الحبيب بورقيبة - 8160 غار الدماء";78660107;;;;;
القيروان;1;"المركب الثقافي بالقيروان";"3100 القيروان";77228120;"محمد جابر العجرودي";;;;
القيروان;5;"حاجب العيون";"شارع علي الزواوي - 3160 حاجب العيون";77370063;"اسمهان عباسي";;;;
القيروان;10;"منزل المهيري ***";"3114 منزل المهيري";;;;;;
قبلي;3;"سوق الأحد";"الطريق الوطنية رقم 16 - 4230 سوق الأحد";75480211;"الاسعد شعبان";33.464682;8.501307;;
المهدية;4;الرشارشة;"5146 الرشارشة";73650158;"محمد علي النصري";;;;
المهدية;8;الرجيش;"شارع الحبيب ثامر - 5125";73640324;"نبيل الحلاوي الزقرني";;;;
المهدية;12;شربان;"شارع الحبيب بورقيبة - 5130";73600489;"محمد الطاهر النباوي";;;;
المهدية;13;هبيرة;"شارع ابن خلدون - 5113 هبيرة";ــــــ;"جوهر بن عامر";;;;
سوسة;3;هرقلة;"شارع الحبيب بورقيبة -  4012 هرقلة";73251058;"نجاح الإمام شحدورة";36.0300032;10.5077443;;
سوسة;7;أكودة;"شارع 18 جانفي - أكودة";73357120;"الصادق عمار";35.8664367;10.5673081;;
تطاوين;3;غمراسن;3220غمراسن;75869748;"محمد العمايري";;;;
القصرين;1;"المركب الثقافي بالقصرين";"طريق تالة فيانة ـ كم 3ـ 1200 القصرين";77474900;"محجوب بوعزي";;;;
القصرين;6;"ماجل بالعباس";"شارع الإستقلال ـ 1214 ماجل بالعباس";77445270;"الساسي محمودي";;;;
القصرين;10;فوسانة;"1220 فوسانة";77420400;"محمد البرهومي";;;;
صفاقس;2;"ـ صفاقس";"ساحة عبد العزيز عشيش ـ 3029 صفاقس";74297435;"احمد الشايب";;;;
صفاقس;6;"ـ عقارب";"شارع الهادي شاكر ـ 3030عقارب";74271866;"سلوى اللجمي";;;;
صفاقس;10;"ـ الغريبة";"3034 الغريبة";74283521;"فتحي الربعاوي";;;;
صفاقس;11;"ـ قرقنة";"شارع فرحات حشاد ـ الرملة - 3070 قرقنة";74480562;"ضحى بن رمضان";;;;
المنستير;1;"ـالمركب الثقافي بالمنستير";"ساحة الجمهورية ـ 5000 المنستير";73462665;"اسماء المنشول";;;;
المنستير;5;"ـ بوحجر";"شارع الحرية ـ 5015 بوحجر";73434606;;;;;
المنستير;7;"ـ بنان";"شارع الحبيب بورقيبة ــ 5025 بنان";73559224;"امال الامام";;;;
المنستير;11;"ـ البقالطة";"شارع طبسوس ـ 5090 البقالطة";73477098;"حسين شبيل";;;;
المنستير;15;"ـ المكنين";"نهج أبو القاسم الشابي ـ 5050 المكنين";73438598;"مهدي معط الله";;;;
قفصة;5;المظيلة;"شارع الحبيب بورقيبة 2170المظيلة";76266221;"محمد العيد بلقاسم";;;;
قابس;1;"المركب الثقافي بقابس";"حي الهناء 6000 قابس";75220620;"اسيا عمار";;;;
قابس;6;وذرف;"شارع الهادي شاكر 6052وذرف";75365262;"حسان مري";;;;
"سيدي بوزيد";1;"سيدي بوزيد";"سيدي بوزيد - 9100";76633708;"محمد فريد البكاري";35.0355895;9.488942;;
"سيدي بوزيد";5;جلمة;"9110 جلمة";76657550;"صالح الدين الشابي";35.2697704;9.4213665;;
تـــــــــونس;2;"ابن خلدون";"26 نهج ابن خلدون، 1001 تونس";71241901;"كمال الرياحي";;;;
تـــــــــونس;5;"الكرم الغربي";"شارع فرحات حشاد، 2015 الكرم";71978116;"سليم الوسلاتي";;;;
تـــــــــونس;9;"حي الحديقة";"ص - ب 52، 2062 ابن خلدون";71504934;"شيراز العياري";;;;
تـــــــــونس;14;"قرطاج الياسمينة";"نهج العياشي بن أحمد، 2016 قرطاج الياسمينة";71989408;"سهام بن التومي";;;;
تـــــــــونس;18;قمرت;"22 نهج عمر المختار، 1057 قمرت";71918140;"امة الله امامة الزاير";;;;
تـــــــــونس;22;"البحر الأزرق";"البحر الأزرق 2070";70939799;"عز الدين الزناقي";;;;
تـــــــــونس;23;"حسين السيجومي";"سيدي حسين،1095 تونس";71590300;"مكرم القنوني";;;;
أريانة;1;"قلعة الأندلس";"شارع الحبيب بورقيبة، 2002 قلعة الأندلس";71558295;"حافظ العدودي";37.0622;10.1184919;;
منوبة;3;المرناقية;"شارع الحبيب بورقيبة، 1110 المرناقية";;"الزهرة الفرجاني";36.757491;10.015931;;
"بن عروس";3;"مرناق **";"شارع حسن حسني عبد الوهاب - مرناق";71360031;;;;;
"بن عروس";7;بالمروج;"شارع قفصة - 2013 المروج 1";71368756;"بثينة الكثيري";;;;
نابـــل;3;"دار شعبان الفهري";"شارع الحبيب بورقيبة - 8011 دار شعبان";72360481;"نبيل الزوالي **";;;;
نابـــل;7;الهوارية;8045الهوارية;72297066;"سنية البري";;;;
سليانة;1;سليانة;"شارع فرحات حشاد  - 6100 سليانة";78870696;"كريم المرابطي";;;;
سليانة;5;كسرى;"6114 كسرى";78892976;"إيمان الربيعي";;;;
زغوان;2;الفحص;"شارع الحبيب بورقيبة - 1140 الفحص";72670228;"ايمن البكري";;;;
زغوان;3;"بئر المشارقة";"نهج النخيل - 1141 بئر المشارقة";72679410;"بلال بوهريرة";;;;
باجة;3;عمدون;"9090 عمدون";78469100;;;;;
باجة;7;تستور;"نهج 2 مارس 1934 - 9060 تستور";78570497;"بلحسن شنوف";;;;
بنزرت;2;سجنان;7010سجنان;72469633;"سامي المشرقي";;;;
بنزرت;6;الخيتمين;7081الخيتمين;72584311;"بسام المبروك";;;;
توزر;2;نفطة;"ساحة التحرير - 2240 نفطة";76430578;"محمد عوينات";;;;
مدنين;1;مدنين;"ص ب 94 - 4100 مدنين";75640026;"ابراهيم عرف";;;;
مدنين;7;"سيدي مخلوف";"4191 سيدي مخلوف";75639020;"انور لبيض";;;;
الكاف;3;تاجروين;"شارع الحبيب بورقيبة - 7150 تاجروين";78277324;"قيس البوغانمي";;;;
الكاف;8;القصور;"7160 القصور";78295813;"زبير عثماني";;;;
جندوبة;2;بوسالم;"نهج ابن خلدون - 8170 بوسالم";78639828;"وليد المسعودي";;;;
جندوبة;6;فرنانة;8140فرنانة;78641052;"تقوى فيالي";;;;
جندوبة;7;"عين دراهم ***";"8130عين دراهم";78655678;;;;;
القيروان;2;السبيخة;"شارع 18 جانفي - 3110 السبيخة";77365328;"سنية الخلولي";;;;
القيروان;6;العلا;"شارع عقبة بن نافع - 3150 العلا";77256460;"يدر ثعلبي";;;;
القيروان;11;الشبيكة;"3121 الشبيكة";;;;;;
قبلي;4;الفوار;4264الفوار;75460420;"محمد العابد";33.214590;8.41622;;
المهدية;5;الجم;"5160 الجم";73630224;"المنجي المزهود";;;;
المهدية;9;الكساسبة;"5140 الكساسبة";73693161;"الشريف الحمدوني";;;;
المهدية;14;ملولش;"5114 ملواش";73649837;"منصور خديم الله";;;;
سوسة;4;"حمام سوسة";"شارع الجمهورية - 4011 سوسة";73362766;"فتحي قلص";35.851179;10.38639;;
سوسة;8;"القلعة الصغرى";"نهج الطيب المهيري - 4021 القلعة الصغرى";73249079;"إكرام السهيلي";35.81881;10.564294;;
سوسة;9;بوفيشة;1010بوفيشة;73252113;"نجيب بن عائشة";36.301291;10.4531049;;
تطاوين;4;الصمار;"3223 الصمار";75886555;"فتحي بووذن";;;;
القصرين;2;فريانة;"25شارع الحبيب بورقيبة ـ 1240 فريانة";77441359;"محمد الهادي السعداوي";;;;
القصرين;7;العيون;"1216 العيون";77450027;"عبد الحميد الحيزي";;;;
القصرين;11;تلابت;"شارع البيئة ـ 1215 تلابت";77431160;"عبد الرزاق العابدي";;;;
صفاقس;3;"ـ الحنشة";"شارع فرحات حشاد ـ 3010 الحنشة";74284337;"منير الحمروني";;;;
صفاقس;7;"ـ منزل شاكر";"شارع الحبيب بورقيبة 3020 منزل شاكر";74285090;"جلال عبيد";;;;
صفاقس;12;"ـ الصخيرة";"شارع الحبيب بورقيبة ـ 3050 الصخيرة";74295061;"عاطف عواديد";;;;
المنستير;2;"ـ الساحلين";"شارع الطيب المهيري ـ 5012 الساحلين";73526542;"عبد الرحمان بن عبد الله";;;;
المنستير;6;"ـ قصيبة المديوني";"نهج محمد كركر ـ 5031 قصيبة المديوني";73469452;"نصيرة عبد الواحد";;;;
المنستير;8;"ـ بوضر";"شارع الحبيب بورقيبة ــ 5063 بوضر";73559994;"المهدي فرج";;;;
المنستير;12;"ـ بنبلة";"شارع سالم بوحاجب ـ 5021 بنبلة";73478036;"ايمن بن فرج";;;;
قفصة;1;قفصة;"شارع ابن منظور 2100 قفصة";76225039;"كوثر مصباح";;;;
قفصة;2;"سيدي عيش";"2131سيدي عيش";76208035;"صلاح الدين عواينية";;;;
قفصة;6;المتلوي;"حي الرئاسة 2130المتلوي";76241512;"جمال الطبابي";;;;
قابس;2;شنني;"شارع الحبيب بورقيبة6041 شنني";75227350;"أيمن البراهيمي";;;;
قابس;7;غنوش;"شارع ابن خلدون6021غنوش";75226206;"ياسين التايب";;;;
"سيدي بوزيد";4;الرقاب;"شارع الاستقلال - 9170 الرقاب";76641030;"عبد الباقي عبيدي";35.858468;9.787987;;
تـــــــــونس;1;"الجمعيات الثقافية العاشورية";"62 نهج عاشور،1059 باب سويقة";71560623;"سامية بن يوسف";;;;
تـــــــــونس;6;"ابن زيدون";"طريق المستشفى العسكري، 1005 تونس";71896189;"سفيان القاسمي";;;;
تـــــــــونس;10;"الطاهر الحداد";"20 نهج التريبونال، 1006 تونس";71564695;"معاوية الغربي";;;;
تـــــــــونس;15;"عين زغوان";"شارع الحبيب بورقيبة، 2046 عين زغوان";71760715;"ايناس عميرات";;;;
تـــــــــونس;19;"حي الخضراء";"شارع الان سافاري،1003 حي الخضراء";71841856;"فاتن سعيد";;;;
تـــــــــونس;24;"حي الطيب المهيري العوينة";"نهج بني خلاد،2045 العوينة";71761790;"سهام بالعربي";;;;
أريانة;2;المنيهلة;"حي الجمهورية، 2094 المنيهلة";70662320;"عثمان الغربي";36.84797;10.108919;;
منوبة;4;"برج العامري";;;"عائدة المرواني";36.714851;9.883724;;
منوبة;5;الجديدة;;;"فيصل العويني";36.842762;9.930597;;
"بن عروس";4;الخليدية;"شارع الحبيب بورقيبة - 2045 الخليدية";71366131;"منيرة مصباحي";;;;
"بن عروس";8;بالزهراء;"نهج الهادي شاكر - 2034 الزهراء";71453267;"احمد العربي";;;;
نابـــل;4;قربة;"شارع الحبيب بورقيبة - 8070 قربة";72384546;"لطيفة عطاالله";;;;
نابـــل;8;قرمبالية;"شارع الحبيب بورقيبة - 8030 قرمبالية";72255352;"أحمد الساحلي";;;;
سليانة;2;بوعرادة;"نهج الجمهورية - 6180 بوعرادة";78806108;"نسيم الخلصي";;;;
سليانة;6;الكريب;"شارع البيئة - 6120 الكريب";78891779;"راضية المومني";;;;
زغوان;4;صواف;115صواف;;"جمال عبد الله";;;;
باجة;4;قبلاط;"9080 قبلاط";78585277;"سامية الرياحي";;;;
باجة;8;تبرسق;"شارع 09 أفريل - 9040 تبرسق";78465831;"حسن الجويني";;;;
باجة;9;تيبار;"تيبار 9022";78475593;"ايمان الخميري";;;;
بنزرت;3;"منزل عبد الرحمان";"شارع البيئة - 7035 منزل عبد الرحمان";72570400;"هشام مراد";;;;
بنزرت;7;العالية;"شارع الحبيب بورقيبة - 7016 العالية";72442869;"أنيسة الساحلي";;;;
توزر;3;"حلبة **";"منطقة حلبة - 2200 توزر";76462023;"منوبية تواتي";;;;
مدنين;2;"بني خداش";"4110بني خداش";75637066;"طارق محضاوي";;;;
مدنين;8;"جربة أجيم";"4135 أجيم جربة";;"بسام الوريمي";;;;
الكاف;4;"القلعة الخصبة";"7113القلعة الخصبة";78243354;"جمال الدين الخلفاوي";;;;
الكاف;9;نبر;"7110 نبر";78246546;"حسني مسلم";;;;
جندوبة;3;بوعوان;"8116 بوعوان";78631028;"أميرة الغرياني";;;;
جندوبة;8;طبرقة;"شارع الحبيب بورقيبة - 8110 طبرقة";78670022;"فيصل المنصوري";;;;
القيروان;3;حفوز;"3130 حفوز";77356085;"رحيم بن عامر";;;;
القيروان;7;بوحجلة;"شارع الحبيب ثامر - 3180 بوحجلة";77266880;"بسمة الرمضاني";;;;
القيروان;8;جهينة;3126جهينة;77249114;"كمال طالبي";;;;
قبلي;1;قبلي;"4200 قبلي";75493324;"محمد الأنور حامد";33.424365;8.582225;;
المهدية;1;المهدية;"شارع فرحات حشاد - 5100 المهدية";73680712;"عدنان بن عامر";;;;
المهدية;6;السواسي;"شارع الحرية - 5140 السواسي";73610048;"محمد نوفل الجهيمي";;;;
المهدية;10;"سيدي علوان";"شارع الحبيب بورقيبة - 5190";73659077;"أيمن الشريف";;;;
سوسة;1;"المركب الثقافي بسوسة";"شارع محمد معروف - 4000 سوسة";73225450;"أمينة الغربي المستيري";35.8285876;10.6332843;;
سوسة;5;"القلعة الكبرى";"4060 القلعة الكبرى";73352500;"راضية التواتي";35.871562;10.5317969;;
تطاوين;1;تطاوين;3200تطاوين;75860250;"عبد القادر العبيدي";;;;
تطاوين;5;الذهيبة;"3253 ذهيبة";75864236;"علي الروان";;;;
القصرين;3;سبيطلة;"شارع الطيب المهيري ـ 1250 سبيطلة";77468207;"نادية غرايبي";;;;
القصرين;4;سبيبة;"8نهج علي البلهوان ـ 1270 سبيبة";77488179;"نبيل المحمدي";;;;
القصرين;8;"حاسي الفريد";"1241 حاسي الفريد";77433053;"زبير المحمدي";;;;
القصرين;12;الصحراوي;"1222 الصحراوي";77437004;"قيس القماطي";;;;
صفاقس;4;"ـ جبنيانة";"نهج علي الزواري ـ 3080 جبنيانة";74880715;"عبد الكريم زايد";;;;
صفاقس;8;"ـ بئر علي بن خليفة";"شارع الهادي شاكر 3040بئر علي بن خليفة";74277920;"خالد بوخذير";;;;
صفاقس;13;"ـ فندق الحدادين";;;"وليد الطبيب";;;;
المنستير;3;"ـ لمطة";"شارع الحبيب بورقيبة ــ 5099 لمطة";73555974;"أماني بوسريح";;;;
المنستير;9;"ـ الوردانين";"5010 الوردانين";73519150;"منير المنستيري";;;;
المنستير;13;"ـ بني حسان";"شارع الحبيب بورقيبة ــ 5014 بني حسان";73490732;"لطفي الضيف";;;;
قفصة;3;السند;2190السند;76290104;"عادل سندي";;;;
قفصة;7;"أم العرائس";"2110أم العرائس";76260033;"سلطان خلايفية";;;;
قابس;3;المطوية;"شارع الحبيب بورقيبة 6010 المطوية";75370700;"ربيعة الجريدي";;;;
قابس;4;الحامة;"شارع البيئة 6020الحامة";75330317;"محمود زوينخ";;;;
قابس;8;"مطماطة الجديدة";;;"رفيق الهاني";;;;
"سيدي بوزيد";3;المكناسي;"9140 المكناسي";76645880;"توفيق الخليفي";34.6029066;9.6060768;;
"سيدي بوزيد";7;"منزل بوزيان";"منزل بوزيان 9114";76673350;"برني نصري";34.5745907;9.4237456;;
تـــــــــونس;3;"ابن رشيق";"20 شارع باريس، 1000 تونس";71338952;"شكري لطيف";;;;
تـــــــــونس;7;"الجمعيات الطبية السليمانية";"13 نهج المدرسة السليمانية، 1000 تونس";71200324;"بختة الوسلاتي";;;;
تـــــــــونس;11;"حلق الوادي";"شارع الهادي شاكر، 2060 حلق الوادي";71735498;"جليلة عمامي";;;;
تـــــــــونس;16;باردو;"نهج 13 أوت، 2000 باردو";71500298;"جميلة الشلي";;;;
تـــــــــونس;20;"جبل الجلود";"5 نهج سكيكدة، 1046 جبل الجلود";71396561;"محسن الماجري";;;;
تـــــــــونس;25;الوردية;"77مكرر شارع بالفو،  الوردية";71495473;"نزار الحميدي";;;;
منوبة;1;طبربة;"شارع الحبيب بورقيبة، 1130 طبربة";71630504;"وحيد البجاوي";36.825268;9.0842307;;
"بن عروس";1;"بن عروس";"2013 بن عروس";71388757;"نجوى الملوحي";;;;
"بن عروس";5;"المحمدية **";"1145 المحمدية";71394595;;;;;
"بن عروس";9;"حمام الشط";"شارع البحر المتوسط - 2055 بئر الباي";;"عائشة الجبالي";;;;
نابـــل;1;"المركب الثقافي بنابل";"شارع محمد الخامس - 8000 نابل";72287882;"ندى نصر";;;;
نابـــل;5;تازركة;"شارع الحبيب بورقيبة 8024 تازركة";72225394;"وفاء بالطيب";;;;
نابـــل;9;"منزل تميم";;;"رضا قديسة";;;;
سليانة;3;العروسة;"نهج أبو القاسم الشابي - 6116 العروسة";78890347;"منيرة التليلي";;;;
سليانة;7;الروحية;"شارع الحبيب بورقيبة - 6150 الروحية";78893099;"لطيفة المعموري";;;;
باجة;1;"المركب الثقافي بباجة";9000باجة;78440411;"وجدي القايدي";;;;
باجة;5;"مجاز الباب";"نهج الكاف - 9070 مجاز الباب";78560697;"خميس شقراوي";;;;
باجة;10;"وادي الزرقاء";"9013وادي الزرقاء";78590310;"صلاح الطرابلسي";;;;
بنزرت;4;"منزل بورقيبة";"ص ب 156 - 7035 منزل بورقيبة";72460333;"فتحي الدريدي";;;;
بنزرت;8;بازينة;"ص ب 10 - 7012 بازينة";;"لطفي النوالي";;;;
بنزرت;9;"غار الملح";"7033غار الملح";;"محمد علي كريستو";;;;
توزر;4;المحاسن;"2224 المحاسن";76425015;;;;;
مدنين;3;"حومة السوق/جربة";"شارع الحبيب بورقيبة - 4180 حومة السوق";75651346;"كمال بن تعزايت";;;;
مدنين;5;بنقردان;"ص ب 27 - 4180 بنقردان";75710380;"جلال عبد الكبير";;;;
الكاف;1;"المركب الثقافي بالكاف";"شارع الطيب المهيري - 7100 الكاف";78200036;"نعمان حباسي";;;;
الكاف;5;"قلعة سنان";"شارع الحبيب بورقيبة - 7130قلعة سنان";78296174;"منير نور";;;;
الكاف;10;الجريصة;"7114 الجريصة";78254580;"منية الحسناوي";;;;
جندوبة;4;"وادي مليز";"شارع الحبيب بورقيبة - 8115 وادي مليز";78690642;"المنصف الكريمي";;;;
جندوبة;9;"بني مطير";"8114بني مطير";78649023;"أحمد الخميري";;;;
القيروان;4;الوسلاتية;"شارع الحبيب بورقيبة - 3120 الوسلاتية";77350196;"المنجي العامري";;;;
القيروان;9;"نصر الله";"شارع الحرية - 3170 نصر الله";77360163;"الحبيب الجملي";;;;
قبلي;2;دوز;"شارع الشهداء - 4260 دوز";75473390;"فتحي بالعربي";33.27871;9.11164;;
المهدية;2;"قصور الساف";"شارع الحبيب ثامر - 5180 قصور الساف";73665292;"رياض سلمونة";;;;
المهدية;3;الشابة;"شارع الهادي شاكر 5170 الشابة";73643208;"سالم قاسم";;;;
المهدية;7;بومرداس;"شارع الحبيب بورقيبة - 5110 بومرداس";73620316;"ألفة التليلي";;;;
المهدية;11;"أولاد الشامخ";"شارع العهد الجديد - 5120 أولاد الشامخ";73619030;"الحبيب نصيب";;;;
سوسة;2;النفيضة;"4030 النفيضة";73250888;"جنات العابد";35.1339135;10.3681046;;
سوسة;6;مساكن;"شارع الجمهورية - 4070 مساكن";73260148;"سعاد بن حسن";35.7332671;10.5748699;;
تطاوين;2;رمادة;"شارع الشهداء ـ 3240 رمادة";75867123;"عثمان ولاد عمر";;;;
تطاوين;6;"بئر الاحمر";"3212 بئر الاحمر";75848306;"فرج الصفيفير";;;;
القصرين;5;تالة;"شارع الحبيب بورقيبة ـ1210 تالة";77481137;"شريفة بولعابي";;;;
القصرين;9;جدليان;"نهج عثمان بن عفان ـ 1280 جدليان";77425373;"نبيل الغابري";;;;
القصرين;13;حيدرة;"1221 حيدرة";77486347;"رياض الزراعي";;;;
صفاقس;1;"ـالمركب الثقافي بصفاقس";"3029ـ صفاقس";74408180;"وليد بن يحي";;;;
صفاقس;5;"ـ ساقية الداير";"شارع الحبيب بورقيبة ـ 3011 ساقية الداير";74293394;"نبيلة جردق";;;;
صفاقس;9;"ـ المحرس";"3060 المحرس";74290212;"شكري الأجنف";;;;
صفاقس;14;"ساقية الزيت";;;"سوسن نجاح";;;;
المنستير;4;"ـ صيادة";"شارع الحبيب بورقيبة ــ 5035 صيادة";73430695;"عدنان كريم";;;;
المنستير;10;"ـ جمال";"الحي الإداري ـ 5020 جمال";73486754;"عائشة محمدي";;;;
المنستير;14;"ـ زرمدين";"شارع الحبيب بورقيبة ــ 5040 زرمدين";73498755;"فهد بن حمودة";;;;
قفصة;4;القطار;"شارع الحبيب بورقيبة 2180 القطار";76285774;"اسكندر الرزقي";;;;
قفصة;8;الرديف;"شارع الحبيب بورقيبة 2120الرديف";76250196;"اسماعيل الطرشاق";;;;
قابس;5;مارث;"شارع 27 أكتوبر 6080مارث";75321165;"مخلوف بوعبيد";;;;
قابس;9;"منزل الحبيب";;;"مصطفى الدحري";;;;
